160, 122, 0.00, 0.00, 6

165, 99, 0.29, -1.35, 23

168, 86, 0.06, -0.27, 72

168, 86, 0.00, 0.00, 120

173, 116, 0.02, 0.12, 364

174, 140, 0.02, 0.50, 412

176, 153, 0.04, 0.27, 461

178, 156, 0.04, 0.06, 509

178, 151, 0.00, -0.10, 559

182, 158, 0.08, 0.15, 607

192, 150, 0.20, -0.16, 656

204, 142, 0.25, -0.17, 704

204, 142, 0.00, 0.00, 753

222, 140, 0.19, -0.02, 850

216, 128, -0.12, -0.24, 900

208, 135, -0.17, 0.15, 948

208, 135, 0.00, 0.00, 997

167, 141, -0.43, 0.06, 1093

154, 142, -0.27, 0.02, 1142

149, 142, -0.10, 0.00, 1190

147, 142, -0.04, 0.00, 1240

147, 145, 0.00, 0.06, 1289

148, 146, 0.02, 0.02, 1337

153, 143, 0.10, -0.06, 1386

158, 131, 0.10, -0.25, 1434

164, 122, 0.12, -0.18, 1483

166, 93, 0.04, -0.60, 1531

169, 88, 0.06, -0.10, 1581

170, 86, 0.02, -0.04, 1629

170, 88, 0.00, 0.04, 1678

171, 92, 0.02, 0.08, 1727

171, 106, 0.00, 0.29, 1775

169, 130, -0.04, 0.49, 1824

169, 149, 0.00, 0.40, 1872

170, 160, 0.02, 0.22, 1922

171, 164, 0.02, 0.08, 1970

173, 165, 0.04, 0.02, 2019

175, 165, 0.04, 0.00, 2067

182, 162, 0.14, -0.06, 2116

192, 155, 0.21, -0.15, 2164

192, 155, 0.00, 0.00, 2213

216, 133, 0.16, -0.15, 2359

215, 139, -0.02, 0.12, 2408

215, 139, 0.00, 0.00, 2457

192, 149, -0.24, 0.10, 2554

177, 152, -0.31, 0.06, 2603

167, 152, -0.21, 0.00, 2651

161, 149, -0.12, -0.06, 2700

165, 150, 0.08, 0.02, 2748

167, 151, 0.04, 0.02, 2797

170, 148, 0.06, -0.06, 2845

177, 136, 0.14, -0.24, 2894

184, 125, 0.15, -0.23, 2942

188, 104, 0.08, -0.42, 2992

190, 93, 0.04, -0.23, 3040

192, 93, 0.04, 0.00, 3089

191, 93, -0.02, 0.00, 3137

191, 100, 0.00, 0.14, 3186

189, 114, -0.04, 0.29, 3235

188, 138, -0.02, 0.50, 3283

189, 158, 0.02, 0.40, 3333

192, 165, 0.06, 0.15, 3381

193, 172, 0.02, 0.14, 3430

196, 172, 0.06, 0.00, 3478

200, 167, 0.08, -0.10, 3527

211, 155, 0.23, -0.25, 3575

211, 155, 0.00, 0.00, 3624

237, 137, 0.27, -0.18, 3722

237, 137, 0.00, 0.00, 3770

237, 137, 0.00, 0.00, 3819

187, 151, -0.34, 0.10, 3965

171, 152, -0.33, 0.02, 4014

163, 151, -0.16, -0.02, 4063

