183, 134, 0.00, 0.00, 6

167, 144, -0.53, 0.33, 36

148, 147, -0.38, 0.06, 86

131, 144, -0.35, -0.06, 134

121, 144, -0.20, 0.00, 183

118, 138, -0.06, -0.13, 231

118, 144, 0.00, 0.12, 280

119, 145, 0.02, 0.02, 328

121, 147, 0.04, 0.04, 376

123, 147, 0.04, 0.00, 425

130, 145, 0.14, -0.04, 475

142, 133, 0.25, -0.25, 523

142, 133, 0.00, 0.00, 572

171, 97, 0.60, -0.75, 620

178, 92, 0.14, -0.10, 669

177, 92, -0.02, 0.00, 718

174, 87, -0.06, -0.10, 766

173, 97, -0.02, 0.20, 816

172, 103, -0.02, 0.13, 864

170, 112, -0.04, 0.18, 913

166, 121, -0.08, 0.19, 961

163, 144, -0.06, 0.47, 1010

159, 167, -0.08, 0.48, 1058

158, 176, -0.02, 0.18, 1107

160, 178, 0.04, 0.04, 1156

161, 177, 0.02, -0.02, 1205

162, 175, 0.02, -0.04, 1253

161, 176, -0.02, 0.02, 1302

162, 174, 0.02, -0.04, 1351

168, 172, 0.13, -0.04, 1399

179, 163, 0.22, -0.18, 1448

193, 156, 0.29, -0.14, 1497

201, 151, 0.16, -0.10, 1546

203, 146, 0.04, -0.10, 1594

203, 147, 0.00, 0.02, 1643

202, 147, -0.02, 0.00, 1691

199, 146, -0.06, -0.02, 1740

194, 145, -0.10, -0.02, 1788

183, 138, -0.22, -0.14, 1838

168, 145, -0.31, 0.15, 1886

152, 156, -0.33, 0.22, 1935

134, 162, -0.38, 0.13, 1983

125, 159, -0.18, -0.06, 2032

123, 159, -0.04, 0.00, 2080

125, 164, 0.04, 0.10, 2129

126, 162, 0.02, -0.04, 2178

128, 160, 0.04, -0.04, 2227

130, 159, 0.04, -0.02, 2275

135, 160, 0.10, 0.02, 2324

135, 160, 0.00, 0.00, 2372

167, 85, 0.16, -0.38, 2567

166, 85, -0.02, 0.00, 2616

165, 89, -0.02, 0.08, 2664

165, 92, 0.00, 0.06, 2713

164, 95, -0.02, 0.06, 2762

163, 98, -0.02, 0.06, 2810

163, 98, 0.00, 0.00, 2860

150, 188, -0.07, 0.46, 3054

151, 185, 0.02, -0.06, 3102

152, 186, 0.02, 0.02, 3151

151, 183, -0.02, -0.06, 3201

153, 178, 0.04, -0.10, 3249

159, 168, 0.12, -0.20, 3298

171, 153, 0.25, -0.31, 3346

185, 137, 0.29, -0.33, 3394

199, 135, 0.29, -0.04, 3443

206, 133, 0.14, -0.04, 3492

209, 134, 0.06, 0.02, 3540

210, 134, 0.02, 0.00, 3590

210, 134, 0.00, 0.00, 3638

206, 134, -0.08, 0.00, 3687

195, 138, -0.23, 0.08, 3735

181, 130, -0.29, -0.16, 3784

158, 152, -0.47, 0.45, 3833

136, 155, -0.46, 0.06, 3881

126, 152, -0.20, -0.06, 3930

121, 156, -0.10, 0.08, 3979

121, 163, 0.00, 0.15, 4027

121, 157, 0.00, -0.12, 4076

122, 156, 0.02, -0.02, 4124

125, 147, 0.06, -0.18, 4173

130, 128, 0.10, -0.39, 4222

130, 128, 0.00, 0.00, 4271

148, 101, 0.38, -0.56, 4319

157, 87, 0.18, -0.29, 4368

162, 79, 0.10, -0.17, 4416

163, 76, 0.02, -0.06, 4465

163, 75, 0.00, -0.02, 4513

164, 79, 0.02, 0.08, 4562

164, 85, 0.00, 0.12, 4612

163, 99, -0.02, 0.29, 4660

163, 99, 0.00, 0.00, 4709

160, 144, -0.06, 0.94, 4757

158, 150, -0.04, 0.12, 4806

155, 165, -0.06, 0.31, 4854

155, 169, 0.00, 0.08, 4903

155, 170, 0.00, 0.02, 4952

155, 169, 0.00, -0.02, 5001

157, 159, 0.04, -0.20, 5050

162, 165, 0.10, 0.13, 5098

173, 141, 0.23, -0.50, 5146

187, 133, 0.29, -0.16, 5195

202, 136, 0.31, 0.06, 5243

211, 127, 0.18, -0.18, 5293

213, 128, 0.04, 0.02, 5342

212, 129, -0.02, 0.02, 5390

207, 131, -0.10, 0.04, 5438

199, 132, -0.16, 0.02, 5487

187, 135, -0.24, 0.06, 5536

170, 134, -0.35, -0.02, 5584

148, 142, -0.44, 0.16, 5634

135, 155, -0.27, 0.27, 5682

131, 159, -0.08, 0.08, 5731

130, 162, -0.02, 0.06, 5779

131, 160, 0.02, -0.04, 5828

133, 165, 0.04, 0.10, 5876

135, 155, 0.04, -0.20, 5925

144, 141, 0.18, -0.29, 5974

148, 139, 0.08, -0.04, 6023

148, 139, 0.00, 0.00, 6071

168, 92, 0.41, -0.96, 6120

175, 80, 0.14, -0.24, 6169

175, 80, 0.00, 0.00, 6217

175, 84, 0.00, 0.02, 6412

172, 96, -0.06, 0.25, 6460

169, 104, -0.06, 0.16, 6509

163, 126, -0.12, 0.45, 6558

163, 126, 0.00, 0.00, 6606

153, 167, -0.20, 0.82, 6656

151, 172, -0.04, 0.10, 6704

151, 173, 0.00, 0.02, 6753

151, 171, 0.00, -0.04, 6801

152, 168, 0.02, -0.06, 6850

152, 168, 0.00, 0.00, 6899

165, 163, 0.27, -0.10, 6947

179, 150, 0.29, -0.27, 6996

195, 133, 0.33, -0.35, 7045

206, 125, 0.22, -0.16, 7094

210, 134, 0.08, 0.19, 7142

208, 127, -0.04, -0.14, 7191

206, 119, -0.04, -0.17, 7239

208, 126, 0.04, 0.14, 7288

202, 127, -0.13, 0.02, 7336

189, 128, -0.27, 0.02, 7385

170, 131, -0.39, 0.06, 7434

146, 130, -0.49, -0.02, 7483

130, 144, -0.33, 0.29, 7531

124, 151, -0.12, 0.14, 7580

123, 144, -0.02, -0.15, 7628

122, 137, -0.02, -0.14, 7677

125, 146, 0.06, 0.18, 7727

129, 144, 0.08, -0.04, 7775

